date,company,narrative,location1,location2,city,weather,lighting,veh1_dir,veh2_dir,veh1_speed,veh2_speed,type,headon,sideswipe,rearend,broadside,hitobject,overturned,vehped,other_type,revision_star
8/24/18,Apple,An Apple test vehicle in autonomous mode was rear-ended while preparing to merge onto Lawrence Expressway South from Kifer Road. The Apple test vehicle was traveling less than 1 mph waiting for a safe gap to complete the merge when a 2016 Nissan Leaf contacted the Apple test vehicle at approximately 15 mph. Both vehicles sustained damage and no inj uries were reported by either party.,Roadway,"Kifer Road, Lawrence Expressway South from ",Sunnyvale,Clear,Daylight,Proceeding Straight,Proceeding Straight,1,15,rearend,0,0,1,0,0,0,0,0,0
8/16/18,Cruise,"A Cruise autonomous vehicle("" Cruise AV"" ), operating in autonmous mode, was traveling northbound on 3rd Street between 22nd and 23rd Streets when a vehicle passing it on the left merged into the Cruise A V's lane too tightly and clipped the Cruise AV's front left radar bending the bracket that holds the sensor casing. There were no injuries and police were not called. ",Roadway,"3rd Street, 22nd and 23rd Streets",San Francisco,Clear,Daylight,Proceeding Straight,Changing Lanes,N/A,N/A,sideswipe,0,1,0,0,0,0,0,0,1
8/14/18,Cruise,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in autonmous mode, was traveling southbound on Pierce Street between Ellis and Eddy Streets when a vehicle that had changed lanes to pass it on the left, turned back into the Cruise AV's lane too tightly and clipped the Cruise AV's front left radar damaging the sensor and it's casing. There were no injuries and police were not called. The driver of the other vehicle did not stop after the collision. ",Roadway,"Pierce Street, Ellis and Eddy Streets",San Francisco,Fog,Daylight,Proceeding Straight,Changing Lanes,N/A,N/A,sideswipe,0,1,0,0,0,0,0,0,2
8/7/18,Cruise,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in autonmous mode, was involved in a collision while traveling southbound on Gough Street at the intersection with Fell Street. The Cruise AV was driving in its lane when a motorocycle tried to overtake it on the left side. As it passed the Cruise AV, the motorcycle made contact with the left side of the Cruise AV and clipped the left front articulating radar. There were no injuries. The police were called but declined to respond citing the lack of any reported injuries. ",Intersection,"Gough Street, Fell Street",San Francisco,Clear,Daylight,Proceeding Straight,Changing Lanes,N/A,N/A,sideswipe,0,1,0,0,0,0,0,0,2
8/6/18,Waymo,"Waymo AV in autonomous mode was rear-ended while traveling southeast on Middlefield Road at the Bryson Avenue intersection in Palo Alto. As the Waymo AV was stopped, the vehicle following it made contact at low speed. There were minor damages and no injuries reported at the scene by either party. ",Intersection,"Middlefield Road, Bryson Avenue",Palo Alto,Clear,Daylight,Stopped,Proceeding Straight,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
7/31/18,Cruise,"A Cruise autonomous vehicle ("" Cruise AV"" ), stopped in autonomous mode behind a double-parked delivery truck, was struck on its left side mirror by a passing vehicle traveling southeast-bound on 10th Street between Divison and Bryant Streets, scratching the mirror casing. There were no injuries and police were not called.",Roadway,"10th Street, Divison and Bryant Streets",San Francisco,Clear,Daylight,Stopped,Changing Lanes,N/A,N/A,sideswipe,0,1,0,0,0,0,0,0,2
7/26/18,Waymo,"A Waymo autonomous vehicle (""Waymo AV"") was rear-ended while stopping for a red light in autonomous mode at the intersection of northbound Central Expressway and Shoreline in Mountain View, CA. There were no injuries.",Intersection,"northbound Central Expressway, Shoreline",Mountain View,Clear,Daylight,Slowing/Stopping,Proceeding Straight,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
7/20/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was rear ended by another vehicle while stopped at a four way stop on eastbound Geary Bl vd at 42nd Street, cracking a rear plastic sensor casing of the Cruise AV. There were no injuries and the police were not called. ",Intersection,"eastbound Geary Bl vd, 42nd Street",San Francisco,Clear,Daylight,Stopped,N/A,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
7/19/18,Waymo," A Waymo autonomous vehicle (""Waymo AV"") was in autonomous mode at a red traffic light on West Middlefield Road at Rengstorff Avenue. The Waymo AV was yielding to cross traffic coming from the left when a vehicle from behind approached and made contact with the rear of the Way mo AV. ",Intersection,"West Middlefield Road, Rengstorff Avenue",Mountain View,Clear,Daylight,Stopped,Slowing/Stopping,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
7/9/18,Waymo,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode was rear-ended while it was traveling northwest on Middlefield Road at Oregon Expressway in Palo Alto. The Waymo AV was approaching the right-only turn lane and came to a stop prior to the turn in reaction to a third vehicle passing on its left potentially entering into its lane, The vehicle traveling behind collided with the Waymo AV at approximately 13 mph, The Waymo AV experienced minor damage to a sensor and rear bumper. The other vehicle experienced minor damage to its front bumper. There were no injuries reported at the scene by either party. ",Roadway,"northwest on Middlefield Road, Oregon Expressway",Palo Alto,Clear,Daylight,Stopped,Slowing/Stopping,0,13,rearend,0,0,1,0,0,0,0,0,0
